AIRPORT,AIRPORT_LATITUDE,AIRPORT_LONGITUDE,RANKING
KONA INTL ARPT AT KEAHOLE,19.73877,-156.04563,556.0
CHINO AIRPORT,33.97469,-117.63661,283.0
MARTHA'S VINEYARD,41.39303,-70.61433,360.0
PUERTO VALLARTA,20.680083,-105.254167,461.0
ROBERT NEWLON FIELD,38.4542,-82.3082,1786.0
SAN LUIS COUNTY REGIONAL ARPT,35.23706,-120.64239,288.0
DECATUR ARPT,39.83456,-88.86569,521.0
COASTAL CAROLINA REGIONAL ARPT,35.07297,-77.04294,335.0
KENAI MUNICIPAL ARPT,60.572,-151.24753,582.0
CHICO MUNICIPAL ARPT,39.79538,-121.85842,582.0
WARSAW MUNICIPAL (IN),41.2747,-85.84006,739.0
KODIAK AIRPORT,57.74997,-152.49386,368.0
EDWARDS AIR FORCE BASE,34.9032,-117.8835,1239.0
CUYAHOGA COUNTY ARPT,41.56512,-81.48635,390.0
HEMET-RYAN ARPT,33.73398,-117.02253,960.0
NORTH CENTRAL WEST VIRGINIA ARPT,39.29664,-80.22808,315.0
OWOSSO COMMUNITY ARPT,42.99297,-84.13891,1239.0
LAKE HOOD STRIP ARPT,61.5,-149.5,865.0
LEWISTON-NEZ PERCE CO ARPT,46.3745,-117.01539,407.0
BOWLING GREEN-WARREN COUNTY REGNL ARPT,36.96452,-86.41968,813.0
MONROE COUNTY,39.14602,-86.61668,582.0
MID-OHIO VALLEY REGIONAL,39.3451,-81.4392,572.0
ELIZABETH FIELD ARPT,41.25131,-72.03161,1415.0
NEWPORT MUNICIPAL ARPT (AK),35.63772,-91.17638,1786.0
BEMIDJI REGIONAL ARPT,47.50942,-94.93372,696.0
CHENNAULT INTL ARPT,30.21059,-93.14319,683.0
EAGLE CREEK AIRPARK,39.83071,-86.29438,960.0
VANCOUVER INTL,49.19389,-123.18444,276.0
MORGANTOWN MUNICIPAL ARPT-WALTER L. BILL HART FIELD,39.64291,-79.91631,434.0
ESLER REGIONAL ARPT,31.3949,-92.29577,1124.0
NANTUCKET MEMORIAL,41.25305,-70.06018,269.0
ALBERT J ELLIS,34.82916,-77.61214,345.0
JERRY TYLER MEMORIAL,41.83591,-86.22518,1786.0
ORANJESTAD/REINA BEA,12.501389,-70.015221,629.0
FENTRESS AIRPARK,29.7675,-97.7718,1786.0
ANGELINA COUNTY,31.23401,-94.75,1415.0
ROTA,36.645211,-6.349458,907.0
FALLS INTL ARPT,48.56619,-93.40307,960.0
JOPLIN REGIONAL,37.15181,-94.49827,383.0
JOE FOSS FIELD ARPT,43.58135,-96.7417,139.0
ASHLAND MUNI ARPT- SUMNER PARKER FLD,42.19028,-122.66063,1786.0
ROCKY MOUNTAIN METROPOLITAN ARPT,39.90879,-105.11722,146.0
SIDNEY MUNI ARPT/LLOYD W. CARR FIELD,41.10133,-102.98528,813.0
ROBT J MILLER AIR PARK,39.9275,-74.2923,1036.0
TOLEDO SUBURBAN ARPT,41.73588,-83.65541,1415.0
MEADOWS FIELD ARPT,35.4336,-119.05677,368.0
HAMPTON ROADS EXECUTIVE,36.78015,-76.44883,762.0
ZURICH,47.464722,8.549167,696.0
JACKSON COUNTY ARPT-REYNOLDS FIELD,42.25979,-84.4594,664.0
WATERLOO REGIONAL ARPT,42.55708,-92.40034,390.0
HORACE WILLIAMS ARPT,35.9343,-79.0595,1124.0
REDDING MUNICIPAL,40.50898,-122.2934,412.0
PATRICK AIR FORCE BASE,28.2342,-80.606,1415.0
CAPE GIRARDEAU REGIONAL ARPT,37.22532,-89.57075,539.0
ONA AIRPARK ARPT,38.4378,-82.2003,1415.0
BIG DUKES PLACE,28.5247,-96.523,1786.0
TULIP CITY ARPT,42.74317,-86.10503,717.0
CENTRAL NEBRASKA REGIONAL,40.96747,-98.30861,274.0
NORWALK-HURON COUNTY,41.2402,-82.5507,1786.0
MISSOULA INTL ARPT,46.91631,-114.09056,225.0
BISMARCK MUNICIPAL ARPT,46.77411,-100.74672,186.0
FRANKFURT MAIN,50.026421,8.543125,405.0
MENOMINEE-MARINETTE TWIN CO ARPT,45.12665,-87.63844,1124.0
MANSFIELD LAHM MUNICIPAL,40.82142,-82.51664,317.0
BELLINGHAM INTL,48.79275,-122.53753,191.0
ELLINGTON FIELD ARPT,29.60733,-95.15875,166.0
FITCH H BEACH ARPT,42.57451,-84.81143,1415.0
POMPANO BEACH AIRPARK,26.24714,-80.11106,470.0
STELLAR AIRPARK,33.2923,-111.9093,1124.0
ROCK RAPIDS MUNICIPAL ARPT,43.4512,-96.1745,1786.0
BERLIN TEGEL,52.559,13.288,907.0
TRI-STATE STEUBEN COUNTY ARPT,41.6397,-85.08349,1239.0
WATERTOWN REGIONAL ARPT,44.91398,-97.15472,646.0
EVERETT-STEWART REGIONAL ARPT,36.38025,-88.98548,1415.0
LYNCHBURG REGNL ARPT/PRESTON GLENN FIELD,37.32669,-79.20043,305.0
MASON CITY MUNICIPAL,43.15779,-93.33126,582.0
ZAMPERINI FIELD ARPT,33.80338,-118.3396,447.0
ABRAMS MUNICIPAL ARPT,42.7742,-84.7331,1124.0
GREENVILLE DOWNTOWN ARPT,34.84794,-82.35,582.0
GREENVILLE MUNICIPAL,43.14228,-85.25381,1239.0
LAWRENCE MUNICIPAL  ARPT (KS),39.01115,-95.21658,791.0
SALISBURY-OCEAN CITY WICOMICO REGNL ARPT,38.34053,-75.51029,487.0
KINGSTON-ULSTER ARPT,41.98525,-73.9641,1415.0
ASPEN-PITKIN COUNTY ARPT/SARDY FIELD,39.22316,-106.86885,203.0
JOHNSON COUNTY EXECUTIVE ARPT,38.8476,-94.73759,383.0
DRAKE FIELD ARPT,36.00509,-94.17006,664.0
GRAND CANYON NATIONAL,35.95235,-112.14696,582.0
HUTCHINSON MUNICIPAL,38.06548,-97.86063,762.0
MONTGOMERY FIELD ARPT,32.81573,-117.13957,375.0
HANA ARPT,20.79564,-156.01444,1036.0
GEN JUAN ALVAREZ INTL ARPT,16.757061,-99.753953,835.0
VENANGO REGIONAL,41.37787,-79.86036,717.0
MADISON COUNTY EXECUTIVE ARPT/TOM SHARP JR FIELD,34.8614083,-86.5574722,1239.0
SKY PARK,41.98458,-73.83597,1415.0
PIERRE REGIONAL ARPT,44.38268,-100.28597,323.0
INDIRA GANDHI INTL,28.5665,77.103088,395.0
MOBILE DOWNTOWN ARPT,30.62647,-88.068,255.0
VENICE MUNICIPAL AIRPORT,27.07161,-82.44033,739.0
WEST GEORGIA REGNL ARPT-O V GRAY FIELD,33.63103,-85.15203,1124.0
MIDDLE GEORGIA REGIONAL,32.69285,-83.64921,340.0
COEUR D'ALENE ARPT-PAPPY BOYINGTON FIELD,47.77429,-116.81962,539.0
MERRIT ISLAND ARPT,28.34159,-80.6855,907.0
PUNTA CANA INTL,18.567367,-68.363431,437.0
GREENVILLE MID-DELTA ARPT,33.48288,-90.98561,791.0
MOODY AIR FORCE BASE,30.9673,-83.189,1786.0
HATTIESBURG-LAUREL,31.46715,-89.33706,696.0
OSWEGO COUNTY,42.27231,-74.39404,1239.0
QUANTICO MCAF/TURNER FIELD,38.501,-77.3032,1786.0
OWENSBORO-DAVIESS,37.74011,-87.16683,498.0
MERCED MUNICIPAL,37.28473,-120.51389,835.0
MERLE K (MUDHOLE) SMITH ARPT,60.49183,-145.47765,865.0
GRATIOT COMMUNITY,43.32214,-84.68795,1239.0
CENTRAL INDUSTRIES,29.787,-92.1538,1786.0
WILLIAM R FAIRCHILD INTL ARPT,48.12019,-123.49969,696.0
HAYWARD EXECUTIVE ARPT,37.65927,-122.12241,358.0
KARNES COUNTY ARPT,28.82501,-97.86558,1786.0
BOTTINEAU MUNICIPAL ARPT,48.83039,-100.41714,1786.0
BEAVER COUNTY ARPT,40.77248,-80.39143,696.0
WAUPACA MUNICIPAL ARPT,44.33369,-89.0155,1124.0
HENRY E ROHLSEN ARPT,17.70189,-64.79856,255.0
MCGEHEE CATFISH REST,33.8927,-97.1688,1786.0
BRITTON MUNICIPAL ARPT SD,45.81522,-97.74314,1124.0
COLUMBIA ARPT,38.03042,-120.41456,1036.0
DELTA COUNTY ARPT,45.72267,-87.09373,608.0
SAWYER INTL,46.35361,-87.39583,470.0
SAN MARCOS MUNICIPAL ARPT,29.89361,-97.86469,696.0
LE SUEUR MUNICIPAL,44.43746,-93.91274,1239.0
EARECKSON AIR STATION,52.71167,174.11333,1415.0
MISSION SIOUX ARPT,43.30695,-100.62819,1786.0
DEADHORSE ARPT,70.19476,-148.46516,791.0
DE KALB COUNTY ARPT,41.30717,-85.06433,1239.0
MESQUITE METRO ARPT,32.74696,-96.53042,629.0
BOIRE FIELD,42.78176,-71.51478,493.0
TONCONTIN INTL,14.060883,-87.217197,717.0
SCHUYKILL COUNTY (JOE ZERBEY) ARPT,40.70645,-76.37315,1415.0
FALCON FIELD ARPT,33.46083,-111.72833,407.0
ALPENA COUNTY REG,45.07807,-83.56029,683.0
JACKSON HOLE,43.60732,-110.73774,267.0
DARE COUNTY REGIONAL ARPT,35.91899,-75.69554,907.0
SONORA MUNICIPAL ARPT,30.5857,-100.6485,1786.0
MAURY COUNTY ARPT,35.55414,-87.17892,1786.0
ORLY,48.725278,2.359444,907.0
LEESBURG EXECUTIVE ARPT,39.07797,-77.5575,539.0
TYLER COUNTY ARPT,30.7717,-94.455,1786.0
KIRKSVILLE REGIONAL,40.09364,-92.54497,813.0
EUGENIO MARIA DE HOSTOS ARPT,18.25569,-67.14847,582.0
BOULDER MUNICIPAL,40.03943,-105.22582,1415.0
CHATHAM MUNICIPAL ARPT,41.6884,-69.98952,835.0
ADIRONDACK REGIONAL ARPT,44.38531,-74.20618,629.0
ARCO HIGH ISLAND HELIPORT,29.6183,-94.2042,1239.0
LA JUNTA MUNICIPAL ARPT,38.043,-103.5055,1415.0
GENERAL ESCOBEDO INTL,25.778489,-100.106878,395.0
QUINCY REGIONAL ARPT - BALDWIN FLD,39.94262,-91.19446,390.0
MARSHFIELD MUNI ARPT-GEORGE HARLOW FIELD,42.0982411,-70.6721208,1036.0
SANTA MARIA PUBLIC ARPT/CAPT G ALLAN HANCOCK FIELD,34.89925,-120.45758,419.0
CROSS KEYS ARPT,39.70548,-75.033,1786.0
PETER O KNIGHT ARPT,27.91558,-82.44926,1124.0
LAKELAND LINDER INTERNATIONAL AIRPORT,27.98892,-82.01856,204.0
LITTLE LAKE HELIPORT,29.4913,-90.1175,1786.0
NUT TREE AIRPORT,38.37675,-121.96246,960.0
LAWTON-FORT SILL REGIONAL ARPT,34.56771,-98.41664,475.0
MOLOKAI ARPT,21.15289,-157.09626,212.0
TOLEDO EXECUTIVE ARPT,41.56487,-83.48226,1124.0
KELLEYS ISLAND LAND FIELD ARPT,41.60283,-82.68463,1415.0
PAYSON ARPT,34.2568,-111.3393,1124.0
GROSSE ILE MUNICIPAL ARPT,42.0986,-83.16106,835.0
SMITH FIELD ARPT,41.14335,-85.15278,960.0
GRANT COUNTY REGNL ARPT/OGILVIE FIELD,44.40417,-118.9625,1786.0
KENOSHA REGIONAL ARPT,42.59571,-87.9278,664.0
MODESTO CITY-COUNTY ARPT-HARRY SHAM FIELD,37.62582,-120.95442,617.0
AEROFLEX-ANDOVER,41.0052,-74.736,1124.0
TAIBEI INTL,25.077731,121.232822,531.0
BROOKVILLE AIR-PARK,39.8575,-84.4265,1786.0
RENTON MUNICIPAL ARPT,47.49314,-122.21575,314.0
KNOX COUNTY REGIONAL,44.06008,-69.09925,696.0
KIRSCH MUNICIPAL ARPT,41.81287,-85.43906,1239.0
EL SALVADOR INTL,13.440947,-89.055728,260.0
MARION COUNTY ARPT,29.06178,-82.37658,1786.0
STUTTGART MUNICIPAL ARPT,34.60054,-91.57457,835.0
PRINCESS JULIANA,18.040953,-63.1089,835.0
RUTLAND-SOUTHERN VERMONT REGNL ARPT,43.52991,-72.94962,608.0
CRYSTAL ARPT,45.06199,-93.35394,498.0
CHARLES R JOHNSON ARPT,26.5577,-97.4358,1786.0
PIKE COUNTY ARPT,39.16693,-82.92818,1786.0
LANSING MUNICIPAL ARPT,41.53989,-87.53217,865.0
INDIANAPOLIS EXECUTIVE ARPT,40.03065,-86.25144,617.0
MILLVILLE MUNICIPAL ARPT,39.36781,-75.07222,582.0
SKY ACRES AIRPORT,41.70743,-73.73803,1786.0
ATAURK INTL,40.976922,28.814606,1239.0
BROWNWOOD REGIONAL ARPT,31.79362,-98.9565,1036.0
GUAM INTL ARPT,13.48345,-144.79598,165.0
BRUNSWICK GOLDEN ISLES,31.25903,-81.46631,521.0
FELTS FIELD ARPT,47.68282,-117.32256,762.0
JOHN H BATTEN ARPT,42.76119,-87.8139,865.0
SHREVEPORT DOWNTOWN ARPT,32.5373,-93.7403,617.0
FLYING CLOUD ARPT,44.82724,-93.45715,347.0
GRAND STRAND ARPT,33.81175,-78.72394,646.0
FINDLAY ARPT,41.01353,-83.66869,646.0
SMITH REYOLDS ARPT,36.13372,-80.222,544.0
CALI/VALLE,3.543222,-76.381583,629.0
COBB COUNTY ARPT-MC COLLUM FIELD,34.01316,-84.59854,475.0
BUFFALO AIRFIELD ARPT,42.862,-78.71659,865.0
PETERSBURG JAMES A JOHNSON ARPT,56.80165,-132.94528,865.0
VICTORIA REGIONAL,28.85256,-96.91849,539.0
TACOMA NARROWS ARPT,47.26793,-122.5781,629.0
WABASH MUNICIPAL ARPT,40.76196,-85.79873,1415.0
GALEAO INTL (RIO),-22.808903,-43.243647,646.0
RUSK COUNTY ARPT,32.14172,-94.85172,960.0
CENTERVILLE MUNICIPAL ARPT,35.83743,-87.44538,1786.0
SOUTH EXPRESSWAY,33.51,-84.36,1786.0
CHANDLER MUNICIPAL ARPT,33.26908,-111.81114,544.0
ROCKINGHAM COUNTY NC SHILOH ARPT,36.4357,-79.8505,1786.0
SHOSHONE COUNTY ARPT,47.5477,-116.1885,1415.0
LEE'S SUMMIT MUNICIPAL ARPT,38.95975,-94.37158,762.0
CHADRON MUNICIPAL ARPT,42.83756,-103.09542,960.0
CONCORD AIRPARK,41.6668,-81.1915,1786.0
GOLDEN TRIANGLE REGIONAL,33.4502,-88.588,317.0
WILLMAR MUNICIPAL-J RICE,45.1093,-95.0865,1786.0
SHEBOYGAN COUNTY MEMORIAL ARPT,43.76949,-87.85159,617.0
GRND GLAIZE-OSAGE BEACH,38.11045,-92.68055,1036.0
PULLMAN/MOSCOW REGIONAL ARPT,46.74386,-117.10958,390.0
CASPER/NATRONA COUNTY INTL ARPT,42.90836,-106.46447,364.0
WALLA WALLA REGIONAL,46.09456,-118.28804,646.0
MICHAEL J SMITH FIELD ARPT,34.73355,-76.6606,960.0
FORT WORTH ALLIANCE,32.98764,-97.31881,160.0
EAST HAMPTON ARPT,40.95958,-72.25185,556.0
EASTON/NEWNAM FIELD ARPT,38.80417,-76.069,582.0
STOCKTON METRO,37.89427,-121.23862,249.0
RHINELANDER-ONEIDA COUNTY,45.63119,-89.46745,646.0
HEATHROW - LONDON,51.4775,-0.461389,351.0
TAMPA EXECUTIVE ARPT,28.01398,-82.34528,960.0
SIMON BOLIVAR INTL,10.603117,-66.990583,646.0
LEWIS UNIVERSITY ARPT,41.60844,-88.09094,835.0
ARNOLD PALMER REGIONAL,40.27594,-79.4048,461.0
MCKINNEY NATIONAL ARPT,33.17795,-96.59053,235.0
SMYRNA ARPT,36.00898,-86.52008,410.0
BUTLER COUNTY REGIONAL,39.36449,-84.52458,629.0
OGDENSBURG INTL ARPT,44.68185,-75.4655,813.0
EASTERN WEST VIRGINIA REGIONAL ARPT,39.40193,-77.98458,762.0
TAMPA BAY EXECUTIVE (CLOSED),28.186,-82.622,1415.0
SLEEPY HOLLOW ARPT,33.6892,-83.6545,1786.0
PORTSMOUTH INTL ARPT AT PEASE,43.07796,-70.82327,108.0
CHIPPEWA VALLEY REGIONAL ARPT,44.86526,-91.48507,443.0
JONESBORO MUNICIPAL ARPT,35.83186,-90.64617,1036.0
SOUTHERN ILLINOIS,37.7781,-89.25203,572.0
PROVO MUNICIPAL ARPT,40.21919,-111.72336,321.0
CRYSTAL RIVER AIRPORT,28.867,-82.5693,1415.0
BOMBAY/MUMBAI,19.088686,72.867919,451.0
NORTH TEXAS REGNL ARPT/PERRIN FIELD,33.71411,-96.67367,1124.0
MID-AMERICA INDUSTRIAL,36.22539,-95.33006,1239.0
JOHN MURTHA JOHNSTOWN-CAMBRIA COUNTY ARPT,40.31611,-78.83394,498.0
INNER HARBOR (SPB),57.75,-152.4939,1786.0
MONTGOMERY CO AIRPARK,39.16834,-77.166,835.0
VANSANT,40.4838,-75.093,1786.0
WAUKESHA COUNTY ARPT,43.04103,-88.23706,288.0
WILEY POST-WILL ROGERS MEM,71.28545,-156.766,646.0
FLETCHER ARPT,42.6897,-88.3742,1786.0
DON MUEANG INTL ARPT,13.912583,100.60675,608.0
KALAUPAPA ARPT,21.21104,-156.9736,865.0
LAREDO INTL,27.54374,-99.46154,215.0
MANSFIELD MUNICIPAL,42.00013,-71.19677,1415.0
NORTH LAS VEGAS,36.21167,-115.19575,717.0
SPICEWOOD ARPT,30.4733,-98.1193,1786.0
OWEN ROBERTS INTL,36.29442,-95.47967,556.0
ROBERTSON FIELD,41.69038,-72.86482,865.0
WILLIAMS COUNTY ARPT,41.46736,-84.50656,1415.0
HAVRE CITY-COUNTY ARPT,48.54299,-109.76234,835.0
GREELEY-WELD COUNTY ARPT,40.43562,-104.63212,556.0
LORAIN COUNTY REGIONAL ARPT,41.34428,-82.17764,457.0
GNOSS FIELD ARPT,38.14352,-122.55722,835.0
GOGEBIC-IRON COUNTY ARPT,46.52747,-90.1314,739.0
W K KELLOGG ARPT,42.30728,-85.25148,341.0
GUANAJUATO DEL BAJIO INTL,20.993464,-101.480847,664.0
KLAMATH FALLS INTL,42.15614,-121.73321,225.0
FOUR CORNERS REGIONAL,36.74125,-108.22994,739.0
ST. CLOUD REGIONAL,45.54532,-94.05834,507.0
HAWKINS FIELD ARPT,32.33477,-90.22253,664.0
KAPALUA ARPT,20.96294,-156.67303,219.0
ISLAMABAD/BENAZIR BHUTTO INTL,33.616653,73.099233,1786.0
RICHARD DOWNING,40.30918,-81.85338,1239.0
BOONE COUNTY ARPT,36.26152,-93.15473,960.0
FRANKLIN COUNTY ARPT,35.20397,-85.89859,1415.0
UNIV OF OKLAHOMA WESTHEIMER ARPT,35.24556,-97.47213,413.0
FIUMICINO ARPT,41.804475,12.250797,493.0
BLACKHAWK AIRFIELD,43.10491,-89.18554,1239.0
OLIVE BRANCH ARPT,34.97875,-89.78683,696.0
JACK NORTHROP FIELD/HAWTHORNE MUNI ARPT,33.92284,-118.33519,544.0
EASTERN SLOPES REGIONAL ARPT,43.99114,-70.94787,1786.0
WILLOUGHBY LOST NATION MUNI ARPT,41.68392,-81.39031,835.0
LARAMIE REGIONAL,41.31205,-105.67499,791.0
BRUCE CAMPBELL FIELD,32.4365,-90.1018,1036.0
ARLINGTON MUNICIPAL ARPT (WA),48.16075,-122.15902,608.0
IOSCO COUNTY,44.3077,-83.42,1786.0
PANGBORN MEMORIAL,47.39886,-120.20683,383.0
NORMAN MANLEY INTL,17.935667,-76.7875,739.0
CLARK COUNTY ARPT (SD),44.8957,-97.71191,1786.0
GLASGOW MUNICIPAL ARPT,37.03206,-85.95261,1124.0
CHAN GURNEY MUNICIPAL ARPT,42.91669,-97.38594,1239.0
CAIRO INTL,30.121944,31.405556,1124.0
NORTHERN MAINE REGIONAL,46.68896,-68.0448,629.0
HARDIN COUNTY,40.61072,-83.6436,1786.0
LAS CRUCES INTL,32.28942,-106.92197,1415.0
ERROL ARPT,44.7888,-71.1585,1786.0
NEW SMYRNA BEACH MUNICIPAL ARPT,29.05581,-80.94836,434.0
BISBEE DOUGLAS INTL ARPT,31.46903,-109.60367,1239.0
MIYAKEJIMA,34.0736,139.56,1786.0
KEOKUK MUNICIPAL ARPT,40.45991,-91.4285,1124.0
ALTOONA-BLAIR COUNTY,40.29637,-78.32002,601.0
BEN GURION ARPT,32.011389,34.886667,664.0
BOONE INC ARPT,36.1993,-81.6515,1786.0
STEAMBOAT SPRINGS ARPT/BOB ADAMS FIELD,40.51626,-106.8663,1124.0
WHITEMAN AIRPORT,34.25933,-118.41343,762.0
HURON COUNTY MEMORIAL,43.78092,-82.98567,1415.0
RYAN FIELD ARPT,32.14308,-111.17286,739.0
MC CALL MUNICIPAL ARPT,44.8888,-116.10175,1786.0
GATWICK - LONDON,51.148056,-0.190278,683.0
PHOENIX DEER VALLEY ARPT,33.68832,-112.08256,317.0
PAGO PAGO INTL,14.33102,-170.71053,413.0
REDSTONE ARMY AIRFIELD,34.6738,-86.6842,1415.0
SEARCY MUNICIPAL ARPT,35.21195,-91.73717,960.0
FREEDOM AIR FIELD,41.2337,-81.1688,1786.0
VICTORIA INTL,48.64694,-123.42583,1124.0
SHELL MORGAN CITY HELIPORT,29.6845,-91.1762,1786.0
CAPITAL CITY ARPT (PA),40.21714,-76.85147,487.0
ORANGE COUNTY ARPT (VA),38.2472,-78.0457,1786.0
ARCADIA MUNICIPAL ARPT,27.1885,-81.8357,1239.0
ROBERT (BOB) CURTIS MEMORIAL ARPT,66.82853,-161.02779,1786.0
SOUTH ST PAUL MUNI ARPT-RICHARD E FLEMING FIELD,44.85713,-93.03285,865.0
DURANGO-LA PLATA COUNTY ARPT,37.15152,-107.75377,315.0
L F WADE INTL ARPT,32.3640417,-64.6787028,531.0
TSTC WACO,31.63783,-97.07414,960.0
PIERCE CO - THUN FIELD ARPT,47.10392,-122.28719,1124.0
LA STATE POLICE HELIPORT,30.4427,-91.1355,1786.0
LYNDEN PINDLING INTL ARPT,25.038958,-77.466231,493.0
CANCUN INTL,21.036528,-86.877083,288.0
INDIANTOWN,27.0352,-80.4373,1786.0
IDAHO COUNTY ARPT,45.94256,-116.12342,1786.0
GRIFFING SANDUSKY ARPT,41.4333,-82.6513,960.0
FREDERICK MUNICIPAL ARPT,39.41758,-77.37431,481.0
GRTR CUMBERLAND REGIONAL,39.61542,-78.76086,1239.0
GLENWOOD MUNICIPAL ARPT,45.64389,-95.32043,1786.0
CUT BANK MUNICIPAL ARPT,48.60835,-112.37615,1786.0
FORNEBU (OSLO),59.883333,10.616667,1786.0
CLINTON COUNTY ARPT,44.68752,-73.52452,1239.0
PETROL HELI INTRACOASTAL CITY,29.796,-92.2,1036.0
SOLDOTNA AIRPORT,60.47614,-151.03244,1124.0
HORSESHOE BAY RESORT ARPT,30.5267,-98.3583,1036.0
PIARCO TRINIDAD,10.595369,-61.337242,717.0
MADRID-BARAJAS,40.493556,-3.566764,388.0
HEFNER-EASLEY AIRSTRIP,35.9575,-95.3383,1239.0
FLYING W ARPT,39.93428,-74.80725,1415.0
BRUSSELS NATIONAL,50.901389,4.484444,551.0
RICHARD LLOYD JONES JR ARPT,36.03963,-95.98464,249.0
OLYMPIA ARPT,46.9705,-122.90221,617.0
ST. LUCIA-VIGIE,14.020228,-60.992936,960.0
BARCELONA ARPT,41.297078,2.078464,498.0
TWIN HILLS ARPT,61.5863,-149.1388,1415.0
SACRAMENTO MATHER ARPT,38.5539,-121.29759,194.0
KISSIMMEE GATEWAY ARPT,28.28981,-81.43708,337.0
WEST HOUSTON ARPT,29.81819,-95.67261,1239.0
NORTH LITTLE ROCK MUNICIPAL ARPT,34.83398,-92.25793,1239.0
LA AURORA,14.583272,-90.527475,507.0
NEWPORT MUNICIPAL ARPT (OR),44.58036,-124.05792,1124.0
KAVALA ,40.972775,24.341417,1786.0
SPARREVOHN LRRS ARPT,61.0917,-155.5712,1786.0
CUSTER COUNTY ARPT,43.73332,-103.61769,1415.0
TWO FALLS ARPT,45.3033,-69.3413,1786.0
RAFAEL HERNANDEZ ARPT,18.4948611,-67.1294444,347.0
DILLANT-HOPKINS ARPT,42.8984,-72.27078,762.0
NORMAN CO ADA/TWIN VALLEY,47.2562,-96.4,1415.0
POLACCA ARPT,35.79167,-110.42347,1239.0
MCCHAREN FIELD,33.58404,-88.66669,1415.0
SIERRA VISTA MUNI ARPT-LIBBY ARMY AIRFIELD,31.58847,-110.34439,739.0
AMSTERDAM SCHIPHOL,52.308613,4.763889,419.0
WOODBINE MUNICIPAL ARPT,39.21915,-74.79477,1415.0
OLORON-HERRERE ARPT,43.16,0.54,1415.0
COLUMBIA REGIONAL,38.81809,-92.21963,189.0
BARKSDALE AIR FORCE BASE ARPT,32.501,-93.6575,1786.0
MILANO MALPENSA,45.630606,8.728111,461.0
CALVIN CAMPBELL MUNICIPAL,45.405,-84.6,1786.0
KNOXVILLE DOWNTOWN ISLAND ARPT,35.96383,-83.87365,907.0
GILLESPIE FIELD ARPT,32.82623,-116.97245,457.0
LAKEWAY AIRPARK ARPT,30.3543,-97.99,1415.0
KIMPO INTL,37.558311,126.790586,1036.0
UNIVERSITY ARPT,38.53146,-121.78649,1786.0
AIRLAKE ARPT,44.62785,-93.22811,664.0
AUBURN-LEWISTON MUNICIPAL,44.04847,-70.28351,1036.0
MASON COUNTY ARPT (MI),43.96253,-86.40792,1036.0
NEOSHO HUGH ROBINSON ARPT,36.81081,-94.39169,1239.0
BEARCE ARPT,34.52926,-93.52713,1124.0
SCOTTSDALE ARPT,33.62288,-111.91053,446.0
MC MINNVILLE MUNICIPAL ARPT,45.19444,-123.13594,907.0
PINE MOUNTAIN LAKE ARPT,37.8616667,-120.1778889,1036.0
LISBON INTL ARPT,38.781311,-9.135919,1239.0
SLOULIN FLD INTL ARPT,48.17794,-103.64235,326.0
SOUTHWEST MICHIGAN REGIONAL,42.12858,-86.4285,762.0
GREEN CASTLE ARPT,41.753,-91.7232,1786.0
COVINGTON MUNICIPAL ARPT,33.6324825,-83.849558,1124.0
SKANEATELES AERO DROME,42.91396,-76.44077,1786.0
LAUREL MUNICIPAL,45.70309,-108.76109,1786.0
ANTRIM COUNTY ARPT,44.98858,-85.19836,1415.0
FALMOUTH AIRPARK,41.5847,-70.5375,1415.0
THOMASTON-UPSON COUNTY ARPT,32.95459,-84.26315,1239.0
WILGROVE AIR PARK,35.21376,-80.67006,1786.0
AUCKLAND INTL,-37.008056,174.791667,960.0
GENESEE COUNTY ARPT,43.03173,-78.1676,1036.0
ST. MARYS COUNTY REGIONAL,38.31536,-76.55011,865.0
NEW CENTURY AIRCENTER ARPT,38.8309167,-94.8903056,356.0
RICHLAND ARPT,46.30564,-119.30419,907.0
WITTMAN REGIONAL ARPT,48.12019,-123.49969,739.0
FERANDINA BEACH MUNICIPAL ARPT,30.6118108,-81.4611856,865.0
YUMA MCAS/YUMA INTL ARPT,32.65658,-114.60597,664.0
SIKESTON MEMORIAL MUNICIPAL ARPT,36.89889,-89.56175,1415.0
AIR HAVEN ARPT,41.35,-75.4763,1415.0
SUMTER ARPT,33.99569,-80.3615,1239.0
JOHNSTON COUNTY ARPT,35.54094,-78.39033,683.0
HERLONG RECREATIONAL ARPT,30.27779,-81.80594,762.0
MONMOUTH EXECUTIVE ARPT,40.18692,-74.12489,696.0
ORMOND BEACH MUNICIPAL ARPT,29.30114,-81.11381,514.0
WM P GWINN ARPT,26.905,-80.324,1124.0
BAY MINETTE MUNICIPAL,30.87046,-87.81738,1415.0
SITKA (SPB),57.05214,-135.34621,960.0
OOSTTENDE,51.198889,2.862222,1415.0
NEVADA MUNICIPAL ARPT,37.85207,-94.30486,1415.0
LOGAN-CACHE ARPT,41.78773,-111.85268,762.0
SHANNON INTL,52.701978,-8.924817,791.0
CHIPPEWA COUNTY INTL ARPT,46.2503,-84.47,835.0
OKMULGEE REGIONAL  ARPT,35.66814,-95.94869,960.0
CANTERBURY FARM ARPT,41.505,-73.3047,1786.0
FORD ARPT,45.81835,-88.11454,572.0
RIVERTON REGIONAL,43.06424,-108.45984,556.0
NARITA INTL ARPT,35.764722,140.386389,556.0
